,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
409,YBR153W,3,5,0,0,734,208,0.8337874659400545,ess
410,YBR154C,2,4,2,19,647,5,0.9891808346213292,ess
411,YBR155W,4,36,0,0,1157,14,0.7044079515989629,ess
412,YBR156C,7,81,0,0,2096,15,0.5634541984732825,
413,YBR157C,25,707,4,476,767,15,0.2842242503259452,
414,YBR158W,26,340,1,1,1649,7,0.2395391146149181,
415,YBR159W,14,84,0,0,1043,1,0.27325023969319273,
416,YBR160W,5,26,0,0,896,1,0.41294642857142855,ess
417,YBR161W,10,147,0,0,1130,3,0.3176991150442478,
418,YBR162C,34,267,6,42,1367,7,0.17410387710314554,
419,YBR162W-A,2,64,15,295,197,7,0.8883248730964467,
420,YBR163W,14,103,0,0,1757,13,0.4479225953329539,
421,YBR164C,7,22,1,2,551,3,0.4591651542649728,
422,YBR165W,6,19,0,0,833,6,0.3013205282112845,
423,YBR166C,13,83,2,8,1358,6,0.22164948453608246,
424,YBR167C,2,10,0,0,422,22,0.4170616113744076,
425,YBR168W,6,99,0,0,1241,6,0.6865431103948428,
